"brand_name","product_name","for_username","overall_videos_viewcount_of_channel","subscribers_channel","first_five_video_avg_of_channel","engagement_rate_of_channel","video_views","video_duration","category","video_type","video_cost"
"mStock","mStock Trading App","@ready_to_invest","888549","48700","1395","2.9","1928","2024-08-16 00:10:17","Finance","Integrated","4500"
"mStock","mStock Trading App","@thetrainguru","11535720","74600","14590","19.6","97377","2024-08-16 00:34:25","Travel Vlogs","Integrated","15000"
"mStock","mStock Trading App","@tradingkannada","2465164","59100","2924","4.9","3486","2024-08-16 00:10:04","Finance","Integrated","10000"
"mStock","mStock Trading App","@marketsupport","39396854","221000","2280","1","5218","2024-08-16 00:09:50","Finance","Dedicated","20000"
"mStock","mStock Trading App","@7dreamsindiaofficial","8492641","228000","2248","1","3236","2024-08-16 00:16:08","Finance","Integrated","15000"
"mStock","mStock Trading App","@viveksinghrana51","21449259","177000","3027","1.7","1351","2024-08-16 00:12:57","Finance","Dedicated","6000"
"mStock","mStock Trading App","@sharetradeepoint","1941116","51700","6497","12.6","134","2024-08-16 00:11:14","Finance","Dedicated","7500"
"mStock","mStock Trading App","@himanshutrader","946953","25800","2051","8","1661","2024-08-16 00:05:13","Finance","Dedicated","10000"
"mStock","mStock Trading App","@investmentwithtarun","11477545","113000","4411","3.9","3181","2024-08-16 00:08:08","Finance","Dedicated","20000"
"mStock","mStock Trading App","@ankitjain05","8370906","68600","3369","4.9","3416","2024-08-16 00:12:41","Finance","Dedicated","15000"
"mStock","mStock Trading App","@missionmarketchannel","29256205","126000","10333","8.2","4802","2024-08-16 00:11:39","Finance","Dedicated","10000"
"mStock","mStock Trading App","@ariusearning8","719585","116000","28765","24.8","13589","2024-08-16 00:04:50","Earning","Integrated","3000"
"mStock","mStock Trading App","@moneyinspires7417","4418004","169000","28442","16.8","14780","2024-08-16 00:05:52","Earning","Integrated","3000"
"mStock","mStock Trading App","@etechpandaji","2885968","274000","19735","7.2","26117","2024-08-16 00:07:56","Earning","Integrated","4000"
"mStock","mStock Trading App","@dhruvearner","13897931","301000","18953","6.3","27933","2024-08-16 00:06:46","Earning","Integrated","3000"
"mStock","mStock Trading App","@info_mindset","7172","149","25105","16848.7","18216","2024-08-16 00:12:19","Finance","Integrated","20000"
"mStock","mStock Trading App","@investwiddeepak","5850721","67200","14003","20.8","17067","2024-08-16 00:12:26","Finance","Integrated","13000"
"mStock","mStock Trading App","@thebullofdalalstreet","5335716","57100","1672","2.9","21276","2024-08-16 00:12:47","Finance","Integrated","20000"
"mStock","mStock Trading App","@cashitijgupta","17672095","123000","3547","2.9","4489","2024-08-16 00:08:30","Trading","Integrated","10000"
"mStock","mStock Trading App","@top5bestlaptop","50407793","237000","6278","2.6","3748","2024-08-16 00:08:58","Tech","Integrated","9000"
"mStock","mStock Trading App","@rsfintech","5850242","55700","9012","16.2","12062","2024-08-16 00:14:47","Finance","Dedicated","10000"
"mStock","mStock Trading App","@techbengalikutty","29807378","210000","11481","5.5","18108","2024-08-16 00:08:19","Tech","Integrated","10000"
"mStock","mStock Trading App","@akashprasad03","7879653","113000","1916","1.7","3073","2024-08-16 00:12:30","Trading","Integrated","8000"
"mStock","mStock Trading App","@cuteupdate","736862","107000","10038","9.4","23947","2024-08-16 00:05:11","Earning","Integrated","2500"
